Theta,Phi,Gain_RHCP,Gain_RHCP_Phase,Gain_LHCP,Gain_LHCP_Phase
-121,117,-14.12202902,-160.7661514,-4.522736064,36.80396718
-120,117,-13.78390551,-161.7270065,-4.558666129,37.44180897
-119,117,-13.50572765,-162.5903378,-4.592084532,38.09521368
-118,117,-13.27970112,-163.2890579,-4.62325702,38.75936957
-117,117,-13.09820116,-163.7678938,-4.652561466,39.42829531
-116,117,-12.95337284,-163.9830338,-4.680470624,40.09516698
-115,117,-12.83682047,-163.9028979,-4.707527242,40.75268899
-114,117,-12.73944528,-163.5097807,-4.734312726,41.39348561
-113,117,-12.65149592,-162.8020246,-4.761411191,42.01049022
-112,117,-12.56288557,-161.7961596,-4.789371359,42.59731196
-111,117,-12.46379081,-160.528188,-4.818669102,43.1485628
-110,117,-12.34547399,-159.0530571,-4.849673602,43.66013232
-109,117,-12.2011793,-157.4415526,-4.882619937,44.12940104
-108,117,-12.02688207,-155.7744586,-4.917590529,44.55538597
-107,117,-11.82167218,-154.1347327,-4.954507263,44.93881398
-106,117,-11.58764753,-152.5992166,-4.993135313,45.28211962
-105,117,-11.32934791,-151.2316168,-5.033098829,45.58936476
-104,117,-11.05289757,-150.078024,-5.073907681,45.86607855
-103,117,-10.76508226,-149.1653626,-5.114993588,46.11901826
-102,117,-10.47255332,-148.5023421,-5.155753175,46.35585513
-101,117,-10.18126479,-148.0820482,-5.195594908,46.58479431
-100,117,-9.896161492,-147.8852731,-5.233986589,46.8141441
-99,117,-9.621076498,-147.8839164,-5.270500078,47.05185618
-98,117,-9.358771718,-148.0440693,-5.304850262,47.30506398
-97,117,-9.111056567,-148.3286388,-5.336925828,47.57964974
-96,117,-8.87893343,-148.699509,-5.366810126,47.87987135
-95,117,-8.662736271,-149.1193052,-5.394791141,48.20807664
-94,117,-8.46224478,-149.5528403,-5.421360199,48.56452645
-93,117,-8.276769233,-149.9683104,-5.44719957,48.94733853
-92,117,-8.105210266,-150.3382862,-5.473159437,49.35255412
-91,117,-7.946103502,-150.6405269,-5.500224976,49.77431866
-90,117,-7.797661558,-150.8586204,-5.529474477,50.20516019
-89,117,-7.657825854,-150.9824391,-5.562029703,50.63634301
-88,117,-7.524338014,-151.0083791,-5.598999997,51.05827224
-87,117,-7.394835888,-150.9393419,-5.64142204,51.46092599
-86,117,-7.266972924,-150.7844125,-5.690197593,51.83429535
-85,117,-7.138552825,-150.5581949,-5.746032053,52.16881791
-84,117,-7.007665509,-150.2797971,-5.80937704,52.4557958
-83,117,-6.872806994,-149.9714962,-5.880380665,52.68779388
-82,117,-6.732966186,-149.6571651,-5.958849397,52.85901561
-81,117,-6.587666046,-149.3605891,-6.044225666,52.96565371
-80,117,-6.436954305,-149.1038246,-6.135585253,53.00620803
-79,117,-6.281347759,-148.9057548,-6.23165811,52.98175625
-78,117,-6.121741763,-148.7809656,-6.330875311,52.89615352
-77,117,-5.95930091,-148.7390206,-6.431443157,52.75612856
-76,117,-5.795347207,-148.7841581,-6.531443058,52.57123754
-75,117,-5.631258981,-148.9153852,-6.628952721,52.35363794
-74,117,-5.468388586,-149.1269096,-6.722180937,52.11765411
-73,117,-5.308001505,-149.408832,-6.809605334,51.8791267
-72,117,-5.151234941,-149.748018,-6.890100789,51.65456674
-71,117,-4.99907126,-150.1290696,-6.963046386,51.46016787
-70,117,-4.852320839,-150.535332,-7.02840101,51.31075876
-69,117,-4.711609601,-150.9498776,-7.086741711,51.21879501
-68,117,-4.577368315,-151.3564238,-7.139263797,51.19348925
-67,117,-4.44982286,-151.7401505,-7.187746172,51.24016004
-66,117,-4.328986606,-152.0883946,-7.234488633,51.35984703
-65,117,-4.214657472,-152.3912031,-7.282229256,51.5492007
-64,117,-4.10642274,-152.641734,-7.334049568,51.800617
-63,117,-4.003674425,-152.8364972,-7.393273539,52.10255841
-62,117,-3.905636947,-152.9754293,-7.463364145,52.43998644
-61,117,-3.811407152,-153.0617975,-7.547818934,52.79482736
-60,117,-3.720004884,-153.1019332,-7.650063981,53.146401
-59,117,-3.630430431,-153.1048002,-7.773343885,53.47175821
-58,117,-3.541723795,-153.0814106,-7.920603896,53.74589445
-57,117,-3.45302012,-153.0441178,-8.0943587,53.94183091
-56,117,-3.363595901,-153.0058232,-8.296540748,54.03058305
-55,117,-3.272901871,-152.9791475,-8.528319438,53.98106889
-54,117,-3.180580362,-152.975626,-8.789881386,53.76005159
-53,117,-3.086467175,-153.0049836,-9.080162731,53.33226646
-52,117,-2.990579943,-153.0745439,-9.39652889,52.66095649
-51,117,-2.893096334,-153.1888114,-9.734409116,51.70912939
-50,117,-2.794325946,-153.349252,-10.08691747,50.44193312
-49,117,-2.694679383,-153.5542771,-10.44453364,48.83057071
-48,117,-2.59463706,-153.7994227,-10.79497674,46.85802921
-47,117,-2.494719164,-154.0776979,-11.12346843,44.5264259
-46,117,-2.395457079,-154.3800701,-11.41360689,41.86485837
-45,117,-2.297366055,-154.6960454,-11.64898884,38.93541711
-44,117,-2.200918692,-155.0143032,-11.81546572,35.83412511
-43,117,-2.106519261,-155.3233426,-11.90354494,32.68408297
-42,117,-2.014479484,-155.6121064,-11.9101651,29.6206862
-41,117,-1.924997219,-155.870548,-11.8391611,26.77250284
-40,117,-1.838140037,-156.0901203,-11.70024749,24.24378313
-39,117,-1.753835982,-156.264165,-11.50697546,22.10373062
-38,117,-1.671873644,-156.3881918,-11.27444064,20.38427555
-37,117,-1.591913047,-156.4600364,-11.01739838,19.08466941
-36,117,-1.513507876,-156.4798957,-10.74908068,18.17963851
-35,117,-1.436138326,-156.4502366,-10.48068026,17.62813723
-34,117,-1.359252516,-156.3755835,-10.22130373,17.38091136
-33,117,-1.282313279,-156.2621933,-9.978177481,17.38620256
-32,117,-1.204846262,-156.1176333,-9.756943153,17.59362519
-31,117,-1.126484952,-155.9502864,-9.561946214,17.95655126
-30,117,-1.047008512,-155.7688135,-9.396473337,18.43339878
-29,117,-0.966369071,-155.5816106,-9.262926802,18.98817008
-28,117,-0.884706386,-155.3962975,-9.162940871,19.59050768
-27,117,-0.802349152,-155.2192767,-9.097451612,20.21546095
-26,117,-0.719803604,-155.0553921,-9.066732767,20.84309741
-25,117,-0.637731098,-154.9077101,-9.070409012,21.45804815
-24,117,-0.556917022,-154.7774323,-9.107456192,22.04904303
-23,117,-0.478233598,-154.6639399,-9.17619667,22.6084668
-22,117,-0.402599024,-154.5649566,-9.274297128,23.13194691
-21,117,-0.330935093,-154.4768112,-9.398775954,23.61796847
-20,117,-0.264125038,-154.394775,-9.546027603,24.06749884
-19,117,-0.202973033,-154.3134484,-9.711871537,24.48359538
-18,117,-0.148166588,-154.2271691,-9.891633132,24.8709651
-17,117,-0.100242969,-154.1304205,-10.08026281,25.23544661
-16,117,-0.059560822,-154.0182183,-10.27249696,25.58339494
-15,117,-0.026278174,-153.8864601,-10.46305986,25.92096982
-14,117,-0.000337992,-153.7322235,-10.64689972,26.25335628
-13,117,0.018537592,-153.5540021,-10.81944456,26.58397892
-12,117,0.030843575,-153.3518688,-10.97685673,26.91379952
-11,117,0.0372784,-153.1275586,-11.11625923,27.24080003
-10,117,0.038720391,-152.8844627,-11.23590556,27.55974202
-9,117,0.036194992,-152.6275286,-11.33526807,27.86225594
-8,117,0.030834196,-152.3630629,-11.41502846,28.13725691
-7,117,0.023830155,-152.0984396,-11.47696663,28.37162426
-6,117,0.01638545,-151.8417223,-11.52375788,28.55103831
-5,117,0.009662709,-151.6012167,-11.5587004,28.66085246
-4,117,0.004736245,-151.3849796,-11.5854017,28.68689536
-3,117,0.002548041,-151.2003156,-11.6074549,28.6161365
-2,117,0.003869917,-151.0533011,-11.62813173,28.43719634
-1,117,0.009273141,-150.9483733,-11.65011317,28.14072332
0,117,0.019106221,-150.8880214,-11.67527153,27.71968638
1,117,0.033481272,-150.8726087,-11.70451239,27.16963905
2,117,0.052269188,-150.9003425,-11.73768137,26.48900057
3,117,0.075103787,-150.9673959,-11.77353958,25.67937424
4,117,0.101395052,-151.0681702,-11.80981179,24.74588734
5,117,0.130351471,-151.1956746,-11.84331108,23.69749476
6,117,0.161011072,-151.341989,-11.87014113,22.54714875
7,117,0.192280225,-151.4987709,-11.88597187,21.31170976
8,117,0.222978633,-151.6577666,-11.88637473,20.01147252
9,117,0.251888248,-151.8112902,-11.86719195,18.66922034
10,117,0.27780344,-151.9526402,-11.8249041,17.3088024
11,117,0.299579513,-152.0764329,-11.75695386,15.953341
12,117,0.316176846,-152.1788409,-11.6619874,14.62328875
13,117,0.326698352,-152.2577301,-11.53998557,13.33462829
14,117,0.330418595,-152.3126989,-11.39227559,12.0975088
15,117,0.326803661,-152.3450237,-11.22143183,10.91553625
16,117,0.315521584,-152.357519,-11.03108918,9.785802152
17,117,0.296443757,-152.3543216,-10.82569967,8.699591736
18,117,0.269638191,-152.3406098,-10.61026331,7.643600022
19,117,0.235355761,-152.3222672,-10.39005984,6.601428951
20,117,0.194010636,-152.3055057,-10.17040138,5.555143506
21,117,0.146155999,-152.2964599,-9.95641924,4.486712879
22,117,0.092456022,-152.3007734,-9.752892079,3.37923103
